Banco de México,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Balanza de pagos,,,,,,,,,,,,,,,
Balanza de pagos (1980 - 2001),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fecha de consulta: 14/09/2024 08:00:55,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Aviso importante: Algunas de las series que está consultando registra un cambio, por favor consulte los metadatos de las mismas.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Título,"Balanza de pagos - con base en MBP5 (a partir de 1980), Cuenta corriente","Balanza de pagos - con base en MBP5 (a partir de 1980), Cuenta corriente, Ingresos, Bienes y servicios, Bienes",,,,"Balanza de pagos - con base en MBP5 (a partir de 1980), Cuenta corriente, Egresos, Bienes y servicios, Bienes",,,,"Balanza de pagos - con base en MBP5 (a partir de 1980), Cuenta de capital","Balanza de pagos - con base en MBP5 (a partir de 1980), Cuenta financiera",,,,
Periodo disponible,Ene-Mar 1980 - Oct-Dic 2001,Ene-Mar 1980 - Oct-Dic 2001,,,,Ene-Mar 1980 - Oct-Dic 2001,,,,Ene-Mar 1980 - Oct-Dic 2001,Ene-Mar 1980 - Oct-Dic 2001,,,,
Periodicidad,Trimestral,Trimestral,,,,Trimestral,,,,Trimestral,Trimestral,,,,
Cifra,Flujos Corrientes,Flujos Corrientes,,,,Flujos Corrientes,,,,Flujos Corrientes,Flujos Corrientes,,,,
Unidad,Millones de Dólares,Millones de Dólares,,,,Millones de Dólares,,,,Millones de Dólares,Millones de Dólares,,,,
Base,,,,,,,,,,,,,,,
Aviso,"Atendiendo recomendaciones del FMI sobre las mejores prácticas estadísticas, se dejó de actualizar la estadística con base en la quinta edición del Manual de Balanza de Pagos (MBP5). Las cifras trimestrales históricas con base en el MBP5 para el periodo comprendido entre 1980 y 2001 siguen disponibles en la página de Internet del Banco de México en el cuadro CE139. Por su parte, las cifras trimestrales a partir de 2002 se encuentran disponibles en el cuadro CE174, correspondiente a la estadística con base en el MBP6.","Atendiendo recomendaciones del FMI sobre las mejores prácticas estadísticas, se dejó de actualizar la estadística con base en la quinta edición del Manual de Balanza de Pagos (MBP5). Las cifras trimestrales históricas con base en el MBP5 para el periodo comprendido entre 1980 y 2001 siguen disponibles en la página de Internet del Banco de México en el cuadro CE139. Por su parte, las cifras trimestrales a partir de 2002 se encuentran disponibles en el cuadro CE174, correspondiente a la estadística con base en el MBP6.",,,,"Atendiendo recomendaciones del FMI sobre las mejores prácticas estadísticas, se dejó de actualizar la estadística con base en la quinta edición del Manual de Balanza de Pagos (MBP5). Las cifras trimestrales históricas con base en el MBP5 para el periodo comprendido entre 1980 y 2001 siguen disponibles en la página de Internet del Banco de México en el cuadro CE139. Por su parte, las cifras trimestrales a partir de 2002 se encuentran disponibles en el cuadro CE174, correspondiente a la estadística con base en el MBP6.",,,,"Atendiendo recomendaciones del FMI sobre las mejores prácticas estadísticas, se dejó de actualizar la estadística con base en la quinta edición del Manual de Balanza de Pagos (MBP5). Las cifras trimestrales históricas con base en el MBP5 para el periodo comprendido entre 1980 y 2001 siguen disponibles en la página de Internet del Banco de México en el cuadro CE139. Por su parte, las cifras trimestrales a partir de 2002 se encuentran disponibles en el cuadro CE174, correspondiente a la estadística con base en el MBP6.","Atendiendo recomendaciones del FMI sobre las mejores prácticas estadísticas, se dejó de actualizar la estadística con base en la quinta edición del Manual de Balanza de Pagos (MBP5). Las cifras trimestrales históricas con base en el MBP5 para el periodo comprendido entre 1980 y 2001 siguen disponibles en la página de Internet del Banco de México en el cuadro CE139. Por su parte, las cifras trimestrales a partir de 2002 se encuentran disponibles en el cuadro CE174, correspondiente a la estadística con base en el MBP6.",,,,
Tipo de información,Niveles,Niveles,,,,Niveles,,,,Niveles,Niveles,,,,
Fecha,c_corriente,x,i_servicios,i_fact,i_trans,m ,e_servicios,e_fact,e_trans,c_capital,c_financiera,act_reserva,e_omisiones,ie_directa,ie_cartera
01/01/1980,-1335.579,4016.123,1229.964,364.14,200.692,4152.316,1336.421,1625.847,31.914,0,2346.2295,0,0,400.812,-94.2805
01/04/1980,-2554.38,4427.124,1075.368,326.727,230.728,5032.765,1556.886,2021.835,2.841,0,2670.7961,0,0,509.81,20.2411
01/07/1980,-3178.578,4669.217,1077.052,286.131,231.06,5690.597,1872.694,1873.183,5.564,0,3614.4083,0,0,680.566,4.066299
01/10/1980,-3365.608,4918.576,1205.107,399.583,203.08,6213.682,1881.74,1992.727,3.805,0,2643.076102,0,0,498.575,-289.0241
01/01/1981,-2584.688,6190.696,1283.895,432.619,249.127,6600.821,1809.901,2294.502,35.801,0,2643.845,0,0,530.398,-133.778
01/04/1981,-3877.505,6189.175,1212.871,446.91,283.15,6993.344,2067.515,2941.804,6.948,0,6508.215,0,0,970.443,327.962
01/07/1981,-5078.608,5031.253,1197.677,476.406,283.283,6617.775,2364.421,3076.483,8.548,0,7455.655,0,0,541.947,473.571
01/10/1981,-4699.78,5896.216,1276.433,412.385,249.395,6972.289,2460.034,3095.972,5.914,0,10008.614,0,0,1033.112,17.716
01/01/1982,-4093.6,5161.55,1098.021,478.832,279.851,5783.137,1646.095,3663.039,19.583,0,2613.993,0,0,584.368,369.888
01/04/1982,-2523.667,5873.051,1017.455,516.982,301.21,4799.323,1658.562,3767.467,7.013,0,3178.021,0,0,620.819,-579.649
01/07/1982,-375.059,6329.668,1014.931,415.238,278.308,3741.406,1542.855,3127.494,1.449,0,2978.245,0,0,607.906,359.889
01/10/1982,1102.205,6690.945,999.745,311.41,204.855,2686.768,1387.587,3029.438,0.957,0,1207.341,0,0,87.205,-536.417
01/01/1983,1638.353,5913.833,1019.962,359.847,253.191,2347.814,981.04,2565.608,14.018,0,1197.058,0,0,824.276,-150.834
01/04/1983,1409.072,6443.857,958.674,387.096,326.122,3127.361,1011.332,2558.308,9.676,0,-1017.726,0,0,682.581,-200.777
